experiment,stage,seed,backbone,unfrozen_layers,source_dataset,target_dataset,batch_size,lr,epochs,es_patience,reduce_lr_patience,n_clusters,clustering,undersampling,ae_arch,align_weight,kl_weight,reconstruction_weight,source_loss,source_acc,source_pre,source_rec,source_f1,target_loss,target_acc,target_pre,target_rec,target_f1,aligned_loss,aligned_acc,aligned_pre,aligned_rec,aligned_f1,trainable_params,model_size_mb,training_time_s,peak_gpu_memory_mb,peak_cpu_memory_mb
./src/experiments/stage1/resnet18/kermany/unfrozen_layers=0/rsna,1,42,resnet18,0,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.219872,0.923208,0.929515,0.923208,0.924753,1.667632,0.420344,0.696963,0.420344,0.376725,,,,,,394498,44.176674,71.143195,280.336914,1670.066406
./src/experiments/stage1/resnet18/rsna/unfrozen_layers=0/kermany,1,42,resnet18,0,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.58724,0.708993,0.726165,0.708993,0.715299,0.581297,0.708191,0.705296,0.708191,0.706693,,,,,,394498,44.176674,312.790641,280.336914,1764.914062
./src/experiments/stage1/resnet18/kermany/unfrozen_layers=3/rsna,1,42,resnet18,3,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.102973,0.957338,0.959987,0.957338,0.957924,3.328219,0.530818,0.725425,0.530818,0.530694,,,,,,5247234,44.176674,80.671653,335.87207,1799.109375
./src/experiments/stage1/resnet18/rsna/unfrozen_layers=3/kermany,1,42,resnet18,3,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.563872,0.724823,0.736036,0.724823,0.72927,0.565394,0.733788,0.738127,0.733788,0.735819,,,,,,5247234,44.176674,320.031627,335.87207,1798.191406
./src/experiments/stage1/resnet18/kermany/unfrozen_layers=5/rsna,1,42,resnet18,5,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.082343,0.969283,0.969432,0.969283,0.969344,2.753937,0.534187,0.724513,0.534187,0.53516,,,,,,8788226,44.176674,74.160679,376.395508,1800.609375
./src/experiments/stage1/resnet18/rsna/unfrozen_layers=5/kermany,1,42,resnet18,5,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.546207,0.729875,0.742697,0.729875,0.734761,0.549817,0.754266,0.787619,0.754266,0.764162,,,,,,8788226,44.176674,293.162096,376.395508,1800.65625
./src/experiments/stage1/resnet18/kermany/unfrozen_layers=none/rsna,1,42,resnet18,None,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.078442,0.972696,0.973553,0.972696,0.972905,2.849402,0.494443,0.72791,0.494443,0.481712,,,,,,11571010,44.176674,103.154626,902.214844,1805.679688
./src/experiments/stage1/resnet18/rsna/unfrozen_layers=none/kermany,1,42,resnet18,None,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.536,0.760525,0.761827,0.760525,0.76115,0.514112,0.745734,0.834113,0.745734,0.759985,,,,,,11571010,44.176674,408.781629,903.652344,1790.386719
./src/experiments/stage1/resnet50/kermany/unfrozen_layers=0/rsna,1,42,resnet50,0,kermany,rsna,32,0.0001,500,10,5,,,,,,,,0.196092,0.923208,0.929515,0.923208,0.924753,1.470515,0.469518,0.688498,0.469518,0.455978,,,,,,1180930,94.383957,90.184424,465.937012,1828.546875
./src/experiments/stage1/resnet50/rsna/unfrozen_layers=0/kermany,1,42,resnet50,0,rsna,kermany,32,0.0001,500,10,5,,,,,,,,0.574934,0.717076,0.730712,0.717076,0.722318,0.675354,0.559727,0.79635,0.559727,0.568982,,,,,,1180930,94.383957,327.680334,465.937012,1945.878906
